OBJID,RA,DEC,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,RMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS
587725468525133953,140.0869187,55.21138323,0.0451731,0.02077791,0.97922194,-19.37910461,-20.54521751,-21.11411858,-21.38595581,-21.54336357,10.42344093,11.14182186,0.89061326,2.52E-01,1.23890305,5.52E+13
587722982271877230,168.4028051,-0.81561939,0.0695193,0.06016571,0.9398343,-18.57258797,-20.07100487,-20.81093597,-21.19775581,-21.59672546,10.43789101,7.34841919,0.38733324,1.09E-02,23.6799469,2.84E+14
587742188827836600,175.9667167,23.63291446,0.0594737,0.01443052,0.98556942,-19.2130146,-20.32708549,-20.7960701,-20.9554081,-21.09456825,10.18116665,12.04248333,0.61314183,-1.12E+00,-999,-9.99E+02
587741829119934607,164.2107845,23.47266329,0.0680879,0.02112834,0.9788717,-18.4580555,-19.83431053,-20.59222794,-21.01044083,-21.22912025,10.34830093,7.90119743,0.30415049,-2.09E-01,-999,-9.99E+02
588010879297323142,183.1018579,5.08336358,0.0768485,0.66456693,0.29177496,-18.8753643,-20.49424171,-21.21334076,-21.5174427,-21.77661896,10.61352825,5.44613218,0.6278289,-5.08E-02,3.15777659,2.61E+14
587739115239702816,130.0905553,23.84315546,0.0617386,0.04118482,0.91668904,-18.7735157,-19.80503273,-20.21960258,-20.36484528,-20.53343773,9.86396694,6.08560514,0.33447769,1.43E+00,50.51709747,3.25E+14
587739305554477270,171.6864279,35.39985468,0.0610031,0.14876008,0.76673508,-18.64907455,-19.89701462,-20.40815163,-20.6182251,-20.86329651,9.99478436,5.08336973,0.44290167,-8.1E-01,20.08961296,1.35E+13
588017704538931324,174.8529225,13.14444265,0.078809,0.5625686,0.24794492,-18.63313675,-20.17555428,-20.90018845,-21.26159096,-21.47621918,10.48292446,4.37935734,0.64866555,-1.01E-01,2.90302181,1.43E+14
587739828200276171,211.6389496,25.13462575,0.0757328,0.44818696,0.29728848,-18.66691971,-20.17120552,-20.90826607,-21.26601219,-21.54115677,10.50414276,5.0667181,0.47396117,5.16E-01,-999,-9.99E+02
588009366401581196,146.0931309,55.52898887,0.0731858,0.06476102,0.89077133,-19.22719383,-20.57808876,-21.18526077,-21.4623394,-21.73083687,10.44848442,6.80202675,0.61478961,-9.29E-01,38.33823776,5.83E+13
587726015076237477,196.7452872,2.36093249,0.081567,0.01317394,0.93802381,-18.6135025,-20.07481956,-20.82957458,-21.21239662,-21.56901932,10.43174362,7.81202126,0.24388804,-5.99E-01,15.03858089,9.65E+13
588010358540075296,158.7469276,4.04713314,0.0457624,0.11785449,0.88214552,-17.77551842,-19.54534912,-20.31868172,-20.73069763,-20.99553299,10.27233982,8.5178833,0.27042535,-5.41E-01,33.81285095,1.94E+13
