Rk,Player,Pos,Age,Tm,G,MP,FGP,Distance,2P,0-3,3-10,10-16,16-3P,3P,3PA,2PA,FGA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19,D.J. Augustin,PG,34,LAL,21,373,0.453,21.1,0.556,0.714,0.444,1,0,0.426,68,18,86,5,5,1,4,23,27,33,7,1,11,22,112
20,Deni Avdija,SF,21,WAS,82,1984,0.432,14.4,0.525,0.633,0.464,0.435,0.389,0.317,259,320,579,103,136,0.757,52,373,425,167,59,44,87,190,685
21,Joel Ayayi,SG,21,WAS,7,20,0.167,12.6,0.2,0,0,1,0,0,1,5,6,0,0,,1,2,3,4,0,0,0,0,2
22,Deandre Ayton,C,23,PHO,58,1713,0.634,7,0.642,0.793,0.588,0.555,0.415,0.368,19,678,697,106,142,0.746,149,444,593,84,40,40,91,142,997
23,Udoka Azubuike,C,22,UTA,17,195,0.755,2.8,0.755,0.824,0.643,0,,,0,49,49,6,11,0.545,18,53,71,0,1,11,12,25,80
24,Marvin Bagley III,PF,22,TOT,48,1153,0.504,9.2,0.579,0.795,0.457,0.306,0.2,0.237,97,349,446,67,101,0.663,105,233,338,36,22,18,39,93,540
24,Marvin Bagley III,PF,22,SAC,30,663,0.463,10,0.538,0.718,0.442,0.375,0.333,0.242,62,184,246,35,47,0.745,67,148,215,17,9,11,21,50,278
24,Marvin Bagley III,PF,22,DET,18,490,0.555,8.1,0.624,0.867,0.474,0.167,0,0.229,35,165,200,32,54,0.593,38,85,123,19,13,7,18,43,262
25,LaMelo Ball,PG,20,CHO,75,2422,0.429,15.9,0.462,0.582,0.398,0.389,0.37,0.389,565,689,1254,212,243,0.872,108,393,501,571,119,30,245,237,1508
26,Lonzo Ball,PG,24,CHI,35,1212,0.423,19.9,0.423,0.61,0.333,0.273,0.167,0.423,260,123,383,21,28,0.75,35,155,190,178,64,31,82,85,455
27,Mo Bamba,C,23,ORL,71,1824,0.48,14.3,0.563,0.727,0.433,0.286,0.314,0.381,281,336,617,57,73,0.781,148,424,572,85,38,118,77,182,756
28,Desmond Bane,SG,23,MEM,76,2266,0.461,16.8,0.484,0.669,0.384,0.438,0.413,0.436,523,578,1101,140,155,0.903,46,288,334,208,92,29,111,196,1384
29,Dalano Banton,PG,22,TOR,64,696,0.411,11,0.464,0.612,0.362,0.292,0.385,0.255,51,151,202,26,44,0.591,38,86,124,99,28,10,53,68,205
